iter	Passed	Remaining
156	25605	55940
157	25716	55665
158	25824	55383
159	25945	55134
160	26051	54853
161	26170	54603
162	26287	54348
163	26403	54095
164	26517	53839
165	26638	53598
166	26763	53366
167	26891	53142
168	27024	52930
169	27144	52691
170	27280	52487
171	27400	52251
172	27521	52021
173	27652	51808
174	27765	51565
175	27894	51350
176	28018	51129
177	28151	50926
178	28279	50713
179	28385	50462
180	28499	50228
181	28622	50010
182	28736	49778
183	28850	49547
184	28974	49334
185	29089	49107
186	29210	48893
187	29337	48687
188	29487	48521
189	29632	48347
190	29786	48189
191	29942	48033
192	30101	47881
193	30245	47706
194	30375	47510
195	30511	47324
196	30649	47141
197	30784	46953
198	30909	46751
199	31026	46540
200	31167	46363
201	31301	46177
202	31459	46027
203	31582	45825
204	31701	45619
205	31823	45417
206	31947	45220
207	32086	45044
208	32210	44847
209	32324	44638
210	32438	44430
211	32566	44241
212	32692	44050
213	32810	43849
214	32944	43671
215	33068	43479
216	33185	43278
217	33291	43064
218	33420	42881
219	33550	42701
220	33674	42512
221	33785	42308
222	33899	42107
223	34014	41910
224	34127	41711
225	34236	41508
226	34348	41309
227	34480	41134
228	34600	40946
229	34711	40748
230	34827	40556
231	34941	40363
232	35059	40175
233	35177	39988
234	35301	39808
235	35439	39644
236	35579	39483
237	35698	39297
238	35819	39116
239	35950	38945
240	36068	38762
241	36189	38581
242	36308	38400
243	36428	38219
244	36546	38038
245	36669	37861
246	36773	37667
247	36887	37481
248	36998	37295
249	37135	37135
250	37247	36950
251	37416	36822
252	37574	36683
253	37700	36513
254	37824	36341
255	37984	36203
256	38125	36048
257	38265	35892
258	38399	35730
259	38530	35566
260	38666	35406
261	38806	35251
262	38923	35075
263	39043	34902
264	39154	34722
265	39265	34542
266	39391	34375
267	39510	34203
268	39633	34034
269	39751	33862
270	39866	33688
271	39986	33518
272	40135	33372
273	40250	33198
274	40373	33032
275	40480	32853
276	40587	32675
277	40707	32507
278	40818	32333
279	40932	32161
280	41040	31985
281	41149	31810
282	41259	31636
283	41377	31470
284	41490	31300
285	41611	31135
286	41721	30963
287	41826	30789
288	41936	30618
289	42050	30450
290	42169	30286
291	42282	30119
292	42404	29958
293	42518	29791
294	42630	29624
295	42760	29469
296	42865	29298
297	42971	29128
298	43085	28964
299	43213	28809
300	43322	28642
301	43436	28478
302	43550	28314
303	43657	28147
304	43770	27984
305	43888	27824
306	44003	27663
307	44096	27488
308	44207	27325
309	44312	27159
310	44421	26995
311	44531	26833
312	44643	26671
313	44759	26513
314	44876	26356
315	44991	26197
316	45103	26037
317	45214	25877
318	45323	25716
319	45447	25564
320	45559	25405
321	45676	25249
322	45784	25089
323	45888	24927
324	45987	24762
325	46093	24602
326	46200	24442
327	46314	24286
328	46431	24133
329	46546	23978
330	46657	23822
331	46772	23667
332	46877	23509
333	46981	23350
334	47091	23194
335	47203	23040
336	47314	22885
337	47423	22729
338	47530	22573
339	47645	22421
340	47748	22263
341	47861	22111
342	47966	21955
343	48074	21801
344	48189	21650
345	48311	21502
346	48439	21358
347	48557	21209
348	48667	21056
349	48780	20905
350	48893	20755
351	49003	20603
352	49124	20456
353	49244	20309
354	49351	20157
355	49449	20001
356	49559	19851
357	49673	19703
358	49798	19558
359	49919	19413
360	50025	19261
361	50139	19113
362	50249	18964
363	50354	18813
364	50477	18669
365	50578	18517
366	50688	18369
367	50808	18224
368	50942	18085
369	51054	17938
370	51164	17790
371	51273	17642
372	51386	17496
373	51510	17353
374	51618	17206
375	51723	17057
376	51832	16910
377	51950	16767
378	52068	16623
379	52178	16477
380	52286	16330
381	52395	16184
382	52523	16044
383	52636	15900
384	52753	15757
385	52861	15611
386	52970	15466
387	53079	15322
388	53188	15177
389	53300	15033
390	53431	14895
391	53538	14750
392	53647	14606
393	53771	14466
394	53885	14323
395	54000	14181
396	54108	14038
397	54211	13893
398	54317	13749
399	54450	13612
400	54552	13467
401	54664	13326
402	54782	13185
403	54892	13043
404	55015	12904
405	55139	12766
406	55258	12626
407	55384	12488
408	55498	12348
409	55616	12208
410	55731	12068
411	55841	11927
412	55951	11786
413	56070	11647
414	56197	11510
415	56314	11371
416	56442	11234
417	56564	11096
418	56712	10963
419	56828	10824
420	56937	10684
421	57048	10544
422	57206	10413
423	57325	10275
424	57443	10137
425	57570	10000
426	57682	9861
427	57800	9723
428	57907	9583
429	58025	9445
430	58148	9309
431	58263	9171
432	58410	9038
433	58524	8900
434	58657	8764
435	58770	8626
436	58894	8490
437	59004	8352
438	59126	8215
439	59238	8077
440	59352	7940
441	59475	7804
442	59585	7666
443	59704	7530
444	59824	7394
445	59945	7257
446	60068	7122
447	60200	6987
448	60322	6851
449	60444	6716
450	60562	6579
451	60699	6445
452	60827	6311
453	60956	6176
454	61084	6041
455	61208	5906
456	61343	5771
457	61479	5637
458	61601	5502
459	61737	5368
460	61858	5233
461	61970	5097
462	62081	4961
463	62197	4825
464	62321	4690
465	62431	4555
466	62560	4420
467	62683	4286
468	62800	4150
469	62918	4016
470	63027	3880
471	63145	3745
472	63260	3611
473	63374	3476
474	63500	3342
475	63629	3208
476	63757	3074
477	63887	2940
478	63995	2805
479	64104	2671
480	64214	2536
481	64330	2402
482	64465	2268
483	64578	2134
484	64695	2000
485	64805	1866
486	64922	1733
487	65035	1599
488	65141	1465
489	65258	1331
490	65378	1198
491	65484	1064
492	65598	931
493	65715	798
494	65849	665
495	65962	531
496	66078	398
497	66196	265
498	66324	132
499	66437	0
